Label,Prediction
[1264.55004883],[1283.4745]
[1247.67504883],[1280.7344]
[1247.59997559],[1270.9308]
[1258.67504883],[1264.0782]
[1271.72497559],[1267.4276]
[1266.90002441],[1278.5386]
[1241.32495117],[1283.6406]
[1252.875],[1271.4366]
[1235.67504883],[1266.3882]
[1229.07495117],[1258.1234]
[1198.69995117],[1249.5686]
[1187.30004883],[1230.6871]
[1195.27502441],[1212.9385]
[1175.72497559],[1208.6193]
[1181.27502441],[1201.1355]
[1199.17504883],[1198.4597]
[1195.52502441],[1207.0073]
[1183.97497559],[1212.819]
[1172.77502441],[1208.8859]
[1176.67504883],[1198.5092]
[1186.77502441],[1193.1346]
[1180.94995117],[1196.6334]
[1182.59997559],[1198.1824]
[1175.375],[1198.7178]
[1164.19995117],[1195.371]
[1159.90002441],[1187.2118]
[1164.5],[1179.5884]
[1183.82495117],[1178.033]
[1192.27502441],[1187.9205]
[1193.],[1200.3546]
[1189.22497559],[1207.4474]
[1187.92504883],[1207.4403]
[1204.19995117],[1204.6255]
[1219.875],[1210.0062]
[1208.40002441],[1222.7235]
[1223.19995117],[1225.7249]
[1202.52502441],[1230.9015]
[1212.90002441],[1224.7415]
[1217.125],[1222.8988]
[1231.34997559],[1225.7821]
[1227.90002441],[1235.3284]
[1209.15002441],[1240.428]
[1218.42504883],[1232.3633]
[1208.19995117],[1228.956]
[1184.80004883],[1224.2535]
[1174.47497559],[1210.125]
[1190.80004883],[1195.4294]
[1185.625],[1195.9069]
[1198.80004883],[1198.4218]
[1181.17504883],[1205.9575]
[1163.52502441],[1203.1082]
[1139.59997559],[1189.9209]
[1139.40002441],[1169.2688]
[1130.55004883],[1156.5365]
[1138.82495117],[1148.5892]
[1139.65002441],[1149.3048]
[1140.05004883],[1152.6775]
[1127.25],[1155.1478]
[1147.875],[1150.2915]
[1152.32495117],[1154.422]
[1159.875],[1161.715]
[1165.59997559],[1169.4684]
[1195.65002441],[1176.0903]
[1201.34997559],[1192.778]
[1199.05004883],[1207.4888]
[1208.15002441],[1212.8967]
[1210.02502441],[1216.9716]
[1210.97497559],[1219.8739]
[1181.47497559],[1221.4669]
[1140.69995117],[1208.0258]
[1134.40002441],[1177.6793]
[1098.97497559],[1155.0375]
[1113.30004883],[1130.481]
[1134.57495117],[1123.3038]
[1132.77502441],[1134.5747]
[1137.77502441],[1145.0946]
[1157.92504883],[1151.8866]
[1159.82495117],[1163.1232]
[1157.94995117],[1171.2833]
[1132.],[1173.1732]
[1105.47497559],[1160.2513]
[1106.42504883],[1136.8733]
[1105.25],[1122.1699]
[1088.40002441],[1117.0364]
[1138.32495117],[1109.7837]
[1159.42504883],[1126.6019]
[1186.57495117],[1153.3625]
[1178.77502441],[1182.3085]
[1177.15002441],[1194.5447]
[1178.625],[1194.2698]
[1174.15002441],[1191.1414]
[1182.625],[1186.8259]
[1177.5],[1188.169]
[1164.94995117],[1188.4805]
[1163.52502441],[1182.4734]
[1176.02502441],[1176.9879]
[1212.92504883],[1180.4957]
[1223.125],[1202.3469]
[1236.55004883],[1224.1381]
[1236.90002441],[1240.9626]
[1236.69995117],[1248.0662]
[1234.69995117],[1248.4958]
[1244.75],[1245.896]
[1260.15002441],[1248.7511]
[1226.94995117],[1259.5581]
[1235.625],[1251.0065]
[1231.375],[1245.1163]
[1240.94995117],[1241.9154]
[1235.40002441],[1245.8221]
[1216.02502441],[1247.2766]
[1253.32495117],[1237.7208]
[1259.07495117],[1248.0521]
[1263.09997559],[1262.4998]
[1259.875],[1272.1224]
[1225.17504883],[1273.7156]
[1212.19995117],[1255.1178]
[1208.52502441],[1234.0336]
[1225.625],[1221.9952]
[1244.90002441],[1227.1244]
[1255.55004883],[1244.0397]
[1263.875],[1260.8909]
[1267.75],[1273.055]
[1263.34997559],[1279.5488]
[1239.05004883],[1278.881]
[1239.],[1264.4442]
[1235.15002441],[1253.5552]
[1236.69995117],[1247.9777]
[1256.27502441],[1247.5781]
[1261.44995117],[1258.5537]
[1259.15002441],[1269.9658]
[1283.09997559],[1274.2714]
[1261.69995117],[1286.1497]
[1275.57495117],[1283.7616]
[1285.09997559],[1284.8667]
[1275.55004883],[1291.7324]
[1278.47497559],[1291.7712]
[1264.65002441],[1291.098]
[1245.72497559],[1283.9623]
[1233.84997559],[1269.2765]
[1263.22497559],[1254.4957]
[1274.34997559],[1262.2115]
[1286.32495117],[1278.2184]
[1318.19995117],[1293.7792]
[1284.69995117],[1317.0737]
[1316.77502441],[1313.5532]
[1325.07495117],[1319.7888]
[1314.77502441],[1330.7502]
[1306.25],[1331.434]
[1315.57495117],[1324.2527]
[1306.55004883],[1323.9753]
[1288.625],[1321.5189]
[1277.875],[1310.4138]
[1273.5],[1297.5946]
[1267.42504883],[1289.3488]
[1278.42504883],[1283.846]
[1279.15002441],[1287.5304]
[1301.30004883],[1292.3049]
[1329.65002441],[1305.815]
[1325.59997559],[1329.2567]
[1333.82495117],[1340.859]
[1322.67504883],[1346.599]
[1286.97497559],[1342.0436]
[1247.92504883],[1318.453]
[1231.97497559],[1282.542]
[1251.44995117],[1255.2065]
[1276.55004883],[1254.9529]
[1250.42504883],[1274.9812]
[1247.09997559],[1277.0126]
[1242.65002441],[1270.5648]
[1214.90002441],[1263.3911]
[1213.30004883],[1246.0952]
[1232.07495117],[1233.7152]
[1232.47497559],[1238.3579]
[1246.55004883],[1245.6792]
[1260.94995117],[1256.3215]
[1222.67504883],[1269.5669]
[1216.72497559],[1257.9781]
[1233.09997559],[1241.6503]
[1247.47497559],[1240.9224]
[1253.02502441],[1252.248]
[1257.55004883],[1263.6893]
[1279.47497559],[1271.2632]
[1276.30004883],[1284.6621]
[1288.77502441],[1291.503]
[1309.625],[1298.7206]
[1309.65002441],[1313.012]
[1354.125],[1321.901]
[1349.59997559],[1347.1052]
[1328.15002441],[1361.7333]
[1326.],[1353.4624]
[1324.55004883],[1342.3772]
[1324.75],[1336.5157]
[1325.09997559],[1335.4978]
[1337.69995117],[1336.575]
[1354.94995117],[1344.3462]
[1369.22497559],[1359.0109]
[1345.84997559],[1375.1277]
[1312.27502441],[1370.1415]
[1319.27502441],[1344.0087]
[1301.75],[1330.787]
[1274.34997559],[1319.689]
[1300.52502441],[1300.605]
[1286.02502441],[1303.2839]
[1275.52502441],[1303.6216]
[1262.47497559],[1297.1628]
[1250.27502441],[1285.8186]
[1272.07495117],[1273.1417]
[1255.65002441],[1277.6962]
[1253.75],[1276.6796]
[1257.40002441],[1273.0208]
[1242.02502441],[1272.5474]
[1220.27502441],[1265.6907]
[1161.05004883],[1249.6486]
[1176.22497559],[1210.7511]
[1179.52502441],[1192.606]
[1164.22497559],[1191.9092]
[1163.47497559],[1188.9026]
[1180.84997559],[1185.7809]
[1205.72497559],[1192.2236]
[1203.25],[1209.893]
[1206.69995117],[1220.861]
[1189.],[1225.2316]
[1199.05004883],[1217.038]
[1200.55004883],[1213.5646]
[1218.05004883],[1214.2544]
[1211.52502441],[1223.8318]
[1218.90002441],[1228.2665]
[1215.40002441],[1232.0645]
[1205.84997559],[1232.3334]
[1202.57495117],[1226.7607]
[1193.17504883],[1220.6677]
[1194.375],[1213.145]
[1183.90002441],[1209.4445]
[1190.15002441],[1203.8427]
[1164.44995117],[1203.1619]
[1183.09997559],[1192.357]
[1181.22497559],[1192.0903]
[1200.09997559],[1194.6705]
[1197.55004883],[1205.0896]
[1200.57495117],[1211.5458]
[1214.32495117],[1214.5468]
[1213.84997559],[1221.4751]
[1199.22497559],[1225.992]
[1198.125],[1220.2887]
[1209.05004883],[1213.7441]
[1199.34997559],[1215.7357]
[1175.],[1214.8464]
[1152.02502441],[1201.763]
[1159.72497559],[1180.9156]
[1165.27502441],[1172.0345]
[1138.52502441],[1174.0056]
[1141.59997559],[1165.7438]
[1084.92504883],[1159.2657]
[1077.72497559],[1131.4463]
[1050.57495117],[1106.8275]
[1060.65002441],[1083.7617]
[1094.80004883],[1075.7076]
[1068.59997559],[1090.3644]
[1062.55004883],[1094.3798]
[1066.44995117],[1089.2494]
[1067.5],[1085.183]
[1078.17504883],[1083.7697]
[1094.22497559],[1087.9448]
[1150.17504883],[1098.5833]
[1141.30004883],[1130.1339]
[1129.92504883],[1150.9138]
[1138.02502441],[1152.2704]
[1131.72497559],[1150.252]
[1110.92504883],[1145.9774]
[1093.],[1133.7872]
[1091.17504883],[1116.9941]
[1077.27502441],[1106.2306]
[1097.875],[1096.7698]
[1097.625],[1100.7697]
[1104.09997559],[1107.4165]
[1100.15002441],[1114.1285]
[1103.80004883],[1115.936]
[1129.65002441],[1116.6255]
[1141.32495117],[1127.7847]
[1144.44995117],[1142.3846]
[1169.65002441],[1152.1962]
[1156.80004883],[1166.794]
[1153.84997559],[1170.5814]
[1144.05004883],[1167.3082]
[1146.55004883],[1159.3285]
[1161.69995117],[1155.0817]
[1156.69995117],[1161.238]
[1175.84997559],[1165.6487]
[1182.77502441],[1175.8777]
[1180.67504883],[1186.6008]
[1184.125],[1191.2181]
[1189.75],[1193.2443]
[1167.19995117],[1196.3262]
[1140.69995117],[1187.874]
[1151.84997559],[1167.6597]
[1157.67504883],[1159.2576]
[1162.19995117],[1161.8185]
[1172.17504883],[1168.3451]
[1124.65002441],[1177.3337]
[1129.27502441],[1161.1394]
[1139.375],[1146.6805]
[1147.55004883],[1145.1722]
[1145.5],[1152.0004]
[1142.67504883],[1156.9011]
[1153.34997559],[1157.3195]
[1159.17504883],[1160.9666]
[1176.5],[1166.7192]
[1178.90002441],[1178.0918]
[1166.44995117],[1186.9286]
[1114.90002441],[1184.7615]
[1083.94995117],[1156.7052]
[1103.82495117],[1120.6702]
[1116.27502441],[1109.1537]
[1120.375],[1116.5781]
[1122.30004883],[1127.7042]
[1135.47497559],[1135.2068]
[1158.65002441],[1143.7281]
[1198.97497559],[1158.9401]
[1207.125],[1187.1981]
[1203.125],[1209.9376]
[1206.84997559],[1217.3339]
[1223.875],[1217.8906]
[1203.94995117],[1224.5073]
[1251.09997559],[1220.6184]
[1232.67504883],[1237.6848]
[1205.75],[1244.7933]
[1240.90002441],[1231.5891]
[1244.92504883],[1236.4471]
[1233.125],[1247.3396]
[1239.77502441],[1248.2572]
[1250.72497559],[1248.88]
[1247.02502441],[1254.9581]
[1236.25],[1257.8239]
[1249.90002441],[1252.7949]
[1256.09997559],[1254.8262]
[1259.875],[1261.3329]
[1271.125],[1267.5083]
[1283.75],[1275.9414]
[1249.15002441],[1287.1329]
[1260.44995117],[1276.061]
[1262.875],[1269.7114]
[1240.],[1270.1599]
[1243.34997559],[1260.895]
[1239.47497559],[1255.1862]
[1230.17504883],[1252.133]
[1213.59997559],[1246.8816]
[1206.02502441],[1235.6549]
[1214.97497559],[1224.9207]
[1222.30004883],[1224.3389]
[1220.5],[1230.6262]
[1215.90002441],[1234.668]
[1205.84997559],[1233.5801]
[1200.625],[1226.723]
[1200.02502441],[1219.1578]
[1214.52502441],[1215.0052]
[1211.125],[1220.8267]
[1209.65002441],[1225.1377]
[1196.625],[1225.8062]
[1164.32495117],[1218.936]
[1157.42504883],[1198.0422]
[1154.40002441],[1180.2789]
[1149.57495117],[1171.2928]
[1162.75],[1167.0187]
[1155.40002441],[1171.9849]
[1164.05004883],[1174.0134]
[1155.75],[1177.6294]
[1155.17504883],[1176.2517]
[1151.32495117],[1173.3727]
[1136.57495117],[1169.6351]
[1144.94995117],[1160.5985]
[1168.65002441],[1157.8229]
[1165.05004883],[1169.1858]
[1160.25],[1177.846]
[1171.22497559],[1178.694]
[1176.27502441],[1181.6678]
[1166.22497559],[1186.433]
[1174.72497559],[1184.6587]
[1180.32495117],[1185.3749]
[1182.55004883],[1189.3644]
[1214.57495117],[1193.3658]
[1227.67504883],[1210.1858]
[1268.09997559],[1229.215]
[1253.57495117],[1258.4155]
[1265.67504883],[1269.3839]
[1260.84997559],[1274.4011]
[1279.57495117],[1273.3094]
[1312.30004883],[1280.3042]
[1289.125],[1302.8809]
[1286.42504883],[1306.6494]
[1275.55004883],[1301.0444]
[1273.30004883],[1291.0297]
[1276.80004883],[1284.277]
[1282.44995117],[1284.083]
[1301.97497559],[1288.8328]
[1348.],[1302.4297]
[1307.625],[1335.107]
[1260.80004883],[1335.1414]
[1253.5],[1300.7501]
[1243.59997559],[1272.528]
[1225.77502441],[1257.0596]
[1235.09997559],[1244.2485]
[1205.59997559],[1243.3282]
[1199.84997559],[1232.1726]
[1215.84997559],[1220.7438]
[1222.5],[1223.1499]
[1203.15002441],[1231.6373]
[1197.42504883],[1227.9227]
[1180.84997559],[1219.3536]
[1171.42504883],[1206.1119]
[1175.02502441],[1193.6359]
[1166.625],[1189.3193]
[1181.17504883],[1185.704]
[1186.80004883],[1190.5038]
[1183.42504883],[1198.2689]
[1178.],[1201.3053]
[1173.77502441],[1198.6796]
[1165.97497559],[1193.6592]
[1217.47497559],[1186.8029]
[1237.90002441],[1206.4806]
[1219.72497559],[1234.8536]
[1223.19995117],[1242.4844]
[1198.72497559],[1240.9792]
[1197.72497559],[1226.3904]
[1204.17504883],[1214.7195]
[1224.80004883],[1213.2523]
[1222.34997559],[1225.3665]
[1245.59997559],[1234.2964]
[1265.34997559],[1248.5564]
[1285.75],[1267.1505]
[1278.],[1287.48]
[1240.84997559],[1293.873]
[1242.15002441],[1273.938]
[1245.90002441],[1257.5369]
[1250.82495117],[1253.3966]
[1236.90002441],[1257.3168]
[1244.72497559],[1254.5582]
[1261.40002441],[1255.0344]
[1251.72497559],[1264.8385]
[1251.52502441],[1267.5636]
[1256.],[1266.3076]
[1255.72497559],[1266.9583]
[1248.02502441],[1267.7676]
[1234.69995117],[1264.2863]
[1246.17504883],[1254.766]
[1242.82495117],[1254.1808]
[1256.90002441],[1255.1884]
[1264.40002441],[1262.8165]
[1248.77502441],[1272.3269]
[1244.72497559],[1269.6461]
[1248.30004883],[1262.657]
[1243.65002441],[1260.187]
[1235.42504883],[1258.1636]
[1242.27502441],[1253.1495]
[1248.17504883],[1253.2523]
[1228.22497559],[1257.9207]
[1228.09997559],[1251.6853]
[1242.17504883],[1245.1918]
[1226.59997559],[1249.1991]
[1230.05004883],[1246.7258]
[1235.30004883],[1244.8375]
[1227.22497559],[1246.9111]
[1244.22497559],[1245.1552]
[1244.59997559],[1251.2032]
[1243.47497559],[1256.8989]
[1253.02502441],[1258.7164]
[1249.52502441],[1263.1122]
[1249.125],[1264.4484]
[1246.77502441],[1263.835]
[1262.44995117],[1261.9082]
[1251.80004883],[1268.3644]
[1255.375],[1268.8674]
[1237.32495117],[1268.815]
[1247.5],[1260.0056]
[1238.22497559],[1258.14]
[1217.97497559],[1255.0801]
[1224.22497559],[1243.0734]
[1221.15002441],[1237.6873]
[1214.80004883],[1235.8585]
[1223.32495117],[1232.6876]
[1227.05004883],[1234.6993]
[1229.625],[1239.1006]
[1250.17504883],[1242.9999]
[1274.09997559],[1254.57]
[1279.30004883],[1274.3136]
[1292.19995117],[1288.8022]
[1297.27502441],[1300.3068]
[1293.30004883],[1307.6581]
[1291.94995117],[1307.9304]
[1293.94995117],[1305.3934]
[1289.19995117],[1304.7045]
[1279.94995117],[1302.7275]
[1269.42504883],[1296.8364]
[1292.15002441],[1287.8447]
[1308.09997559],[1294.513]
[1312.],[1310.5818]
[1301.42504883],[1322.5143]
[1313.07495117],[1321.2465]
[1310.05004883],[1322.923]
[1332.77502441],[1323.3352]
[1355.02502441],[1334.7052]
[1367.5],[1354.8737]
[1368.19995117],[1373.0503]
[1354.375],[1380.972]
[1379.47497559],[1374.336]
[1357.30004883],[1381.1045]
[1352.65002441],[1376.4094]
[1373.32495117],[1368.3092]
[1353.65002441],[1375.5577]
[1351.72497559],[1372.6744]
[1336.47497559],[1367.3075]
[1340.32495117],[1356.6251]
[1340.625],[1352.6292]
[1344.02502441],[1353.0703]
[1342.92504883],[1356.1661]
[1342.65002441],[1357.6935]
[1329.07495117],[1357.792]
[1318.5],[1350.318]
[1314.97497559],[1339.3079]
[1316.17504883],[1331.7416]
[1317.77502441],[1330.0029]
[1316.65002441],[1331.6393]
[1308.625],[1332.7012]
[1300.75],[1328.8671]
[1330.55004883],[1321.7179]
[1306.07495117],[1333.0715]
[1314.19995117],[1331.0193]
[1278.90002441],[1329.8542]
[1272.80004883],[1311.865]
[1290.25],[1295.5913]
[1287.65002441],[1297.901]
[1294.47497559],[1302.8802]
[1297.84997559],[1308.9377]
[1323.375],[1313.8611]
[1324.72497559],[1328.8407]
[1309.94995117],[1339.4896]
[1313.47497559],[1335.055]
[1350.59997559],[1330.5007]
[1322.80004883],[1348.0343]
[1315.59997559],[1347.8933]
[1319.32495117],[1338.2632]
[1328.55004883],[1333.8329]
[1344.59997559],[1338.3406]
[1357.19995117],[1351.1987]
[1354.5],[1365.9447]
[1403.30004883],[1371.5867]
[1395.25],[1397.6106]
[1388.17504883],[1411.0398]
[1373.05004883],[1408.7373]
[1425.42504883],[1395.4745]
[1444.47497559],[1415.7878]
[1459.09997559],[1444.8038]
[1479.65002441],[1467.082]
[1558.19995117],[1486.4717]
[1551.],[1539.6853]
[1587.30004883],[1566.6947]
[1560.52502441],[1591.2883]
[1599.42504883],[1584.6758]
[1576.42504883],[1598.1521]
[1556.17504883],[1594.6475]
[1569.30004883],[1576.1047]
[1576.82495117],[1574.6794]
[1551.59997559],[1583.3683]
[1498.625],[1573.0015]
[1477.52502441],[1532.0715]
[1487.09997559],[1497.7849]
[1485.84997559],[1492.7777]
[1483.65002441],[1496.7457]
[1455.90002441],[1498.7765]
[1462.92504883],[1482.9617]
[1466.52502441],[1476.7382]
[1461.80004883],[1479.1823]
[1472.375],[1479.3743]
[1521.15002441],[1485.0509]
[1525.09997559],[1517.5101]
[1537.90002441],[1540.0632]
[1515.84997559],[1553.754]
[1521.17504883],[1544.2806]
[1517.52502441],[1538.2986]
[1518.84997559],[1535.3315]
[1552.92504883],[1535.7621]
[1521.40002441],[1557.579]
[1513.72497559],[1552.4698]
[1501.97497559],[1539.0258]
[1517.05004883],[1525.6332]
[1526.07495117],[1529.5936]
[1443.40002441],[1540.7021]
[1443.44995117],[1496.8918]
[1434.84997559],[1466.831]
[1412.84997559],[1454.4503]
[1415.5],[1440.421]
[1432.42504883],[1435.4801]
[1428.375],[1445.4476]
[1415.67504883],[1450.8917]
[1409.07495117],[1444.421]
[1408.5],[1434.9552]
[1423.84997559],[1429.9708]
[1424.57495117],[1437.4688]
[1454.82495117],[1444.1548]
[1455.625],[1463.4941]
[1455.44995117],[1475.643]
[1478.97497559],[1478.3542]
[1475.15002441],[1490.6865]
[1461.94995117],[1496.2638]
[1468.80004883],[1488.7677]
[1507.07495117],[1486.5356]
[1569.625],[1509.5795]
[1576.65002441],[1562.2734]
[1593.82495117],[1594.9203]
[1583.30004883],[1612.252]
[1579.55004883],[1608.8905]
[1595.57495117],[1600.1058]
[1701.22497559],[1605.6901]
[1704.32495117],[1677.9078]
[1692.82495117],[1722.2645]
[1735.125],[1722.1477]
[1769.625],[1740.6406]
[1725.97497559],[1774.7458]
[1766.05004883],[1758.6638]
[1749.875],[1769.535]
[1740.92504883],[1768.4285]
[1740.375],[1758.437]
[1710.47497559],[1753.3802]
[1720.59997559],[1732.2856]
[1744.65002441],[1729.2527]
[1725.625],[1748.7614]
[1728.47497559],[1746.3015]
[1716.77502441],[1742.8312]
[1741.19995117],[1734.2258]
[1746.94995117],[1747.1555]
[1745.90002441],[1759.9819]
[1751.02502441],[1763.2646]
[1778.375],[1766.3505]
[1754.44995117],[1786.6536]
[1747.55004883],[1780.3876]
[1801.84997559],[1768.3123]
[1792.90002441],[1801.9028]
[1751.02502441],[1815.7987]
[1761.75],[1786.3326]
[1757.05004883],[1777.1075]
[1741.05004883],[1775.8865]
[1732.44995117],[1765.6693]
[1744.25],[1755.0714]
[1721.59997559],[1760.3218]
[1725.75],[1749.8197]
[1735.55004883],[1746.1566]
[1747.09997559],[1753.6151]
[1749.69995117],[1766.1162]
[1781.],[1772.9202]
[1824.09997559],[1795.5145]
[1787.55004883],[1836.0138]
[1840.05004883],[1826.5503]
[1829.],[1850.054]
[1824.5],[1856.9034]
[1822.44995117],[1851.4292]
[1819.34997559],[1846.2988]
[1809.80004883],[1842.6868]
[1819.25],[1834.9531]
[1852.],[1838.58]
[1858.],[1865.2612]
[1842.69995117],[1881.5619]
[1847.75],[1872.7749]
[1851.34997559],[1869.1981]
[1874.05004883],[1871.849]
[1866.15002441],[1889.7852]
[1880.30004883],[1891.8269]
[1912.94995117],[1899.4491]
[1883.],[1926.8093]
[1875.09997559],[1915.8177]
[1979.90002441],[1899.5006]
[1971.34997559],[1972.0823]
[1981.09997559],[2001.9514]
[1989.19995117],[2007.7886]
[2002.15002441],[2012.0299]
[2000.25],[2022.4883]
[1981.40002441],[2024.1692]
[1996.59997559],[2008.0316]
[2005.65002441],[2012.6417]
[1999.],[2024.1847]
[1981.5],[2022.4294]
[1964.69995117],[2006.0895]
[1943.75],[1986.861]
[1944.59997559],[1965.6815]
[1940.19995117],[1960.8268]
[1976.5],[1959.2026]
[1948.40002441],[1987.0474]
[1979.44995117],[1978.303]
[1975.55004883],[1993.4976]
[1967.34997559],[1999.5366]
[1974.],[1993.0511]
[1974.34997559],[1994.93]
[1993.09997559],[1997.5471]
[2000.15002441],[2012.8195]
[2003.55004883],[2024.5692]
[2008.5],[2029.615]
[2012.75],[2033.8392]
[2009.94995117],[2038.1709]
[2017.65002441],[2037.0353]
[2035.09997559],[2041.7695]
[2043.],[2057.4512]
[2050.89990234],[2068.974]
[2069.19995117],[2076.943]
[2072.],[2092.523]
[2082.39990234],[2099.3389]
[2078.39990234],[2107.2554]
[2052.89990234],[2105.8152]
[2098.89990234],[2083.2383]
[2079.25],[2111.2612]
[2075.30004883],[2109.7112]
[2079.85009766],[2100.5808]
[2080.75],[2101.4636]
[2046.25],[2103.7136]
[2043.94995117],[2076.5876]
[2065.39990234],[2064.252]
[2074.14990234],[2081.2063]
[2070.75],[2096.395]
[2077.89990234],[2096.8433]
[2103.14990234],[2100.7708]
[2198.44995117],[2122.7017]
[2183.19995117],[2206.8098]
[2142.14990234],[2222.9988]
[2188.85009766],[2181.2705]
[2183.69995117],[2203.0051]
[2255.55004883],[2212.457]
[2162.85009766],[2270.277]
[2064.80004883],[2211.6306]
[2102.64990234],[2101.1038]
[2077.55004883],[2104.779]
[2091.80004883],[2100.619]
[2043.59997559],[2108.713]
[1979.94995117],[2074.664]
[1918.30004883],[2011.0911]
[1949.5],[1945.8665]
[1962.30004883],[1955.6003]
[1929.40002441],[1980.2047]
[1913.19995117],[1964.2258]
[1903.],[1942.931]
[1843.65002441],[1930.805]
[1848.5],[1886.0004]
[1853.],[1873.0343]
[1799.09997559],[1879.6741]
[1871.],[1846.3943]
[1894.80004883],[1882.3635]
[1938.15002441],[1924.0735]
[1935.75],[1968.0902]
[1913.44995117],[1979.8124]
[1890.84997559],[1960.3689]
[1932.69995117],[1932.8315]
[1942.15002441],[1954.9141]
[1909.19995117],[1976.3433]
[1914.84997559],[1956.133]
[1934.94995117],[1947.4718]
[1880.65002441],[1962.2925]
[1872.84997559],[1928.6799]
[1886.59997559],[1904.6499]
[1902.44995117],[1910.3165]
[1878.25],[1927.8782]
[1812.],[1916.1035]
[1812.55004883],[1858.6393]
[1846.09997559],[1835.5903]
[1890.25],[1859.6459]
[1983.90002441],[1906.2167]
[1960.55004883],[1991.8055]
[1968.25],[2006.2942]
[1982.40002441],[2001.6211]
[2010.84997559],[2008.3491]
[2006.75],[2033.0367]
[1992.69995117],[2038.5109]
[1995.19995117],[2025.0045]
[1975.80004883],[2020.3082]
[2000.],[2005.3298]
[2016.80004883],[2017.9459]
[1982.59997559],[2038.3732]
[1989.75],[2017.3307]
[1994.30004883],[2010.5525]
[1987.84997559],[2014.9985]
[1968.44995117],[2012.2208]
[1954.05004883],[1995.1077]
[1895.80004883],[1977.6122]
[1918.5],[1929.0266]
[1889.19995117],[1929.1483]
[1908.94995117],[1916.0387]
[1896.05004883],[1924.8876]
[1893.05004883],[1922.4976]
[1902.80004883],[1917.9735]
[1923.30004883],[1924.4515]
[1899.94995117],[1943.8231]
[1876.84997559],[1934.3529]
[1897.90002441],[1909.8501]
[1893.55004883],[1917.006]
[1886.94995117],[1921.7643]
[1888.55004883],[1917.5624]
[1842.55004883],[1916.5203]
[1813.25],[1883.3496]
[1867.80004883],[1847.3225]
[1870.15002441],[1876.9471]
[1894.30004883],[1899.0336]
[1900.65002441],[1920.6852]
[1908.69995117],[1931.9302]
[1901.90002441],[1938.9043]
[1875.59997559],[1934.8865]
[1901.55004883],[1912.0233]
[1920.80004883],[1921.4116]
[1955.],[1944.0168]
[1982.75],[1977.2606]
[1981.40002441],[2008.7703]
[2014.09997559],[2015.3412]
[2029.94995117],[2037.0286]
[2050.25],[2057.0789]
[2044.55004883],[2076.396]
[2074.80004883],[2075.8313]
[2082.89990234],[2095.2896]
[2061.39990234],[2109.0142]
[2065.89990234],[2092.9207]
[2051.60009766],[2087.419]
[2044.59997559],[2076.0762]
[2029.69995117],[2066.0999]
[1970.30004883],[2051.903]
[1904.80004883],[2000.921]
[1914.75],[1932.7147]
[1914.19995117],[1922.3087]
[1925.65002441],[1928.9385]
[1985.15002441],[1942.0515]
